taxonID	identifier	datasetID	datasetName	acceptedNameUsageID	parentNameUsageID	taxonomicStatus	taxonRank	verbatimTaxonRank	scientificName	kingdom	phylum	class	order	superfamily	family	genericName	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	source	namePublishedIn	nameAccordingTo	modified	description	taxonConceptID	scientificNameID	references	isExtinct
3925858	f73eb3088287367d6b0266486d2424af	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925489		class		Sordariomycetes	Fungi	Ascomycota	Sordariomycetes																		false
3925859		Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925858		order		Not assigned	Fungi	Ascomycota	Sordariomycetes	Not assigned																	false
3925860	500d8e1ec9f1244f6a13d42c722f15a1	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925859		family		Etheirophoraceae	Fungi	Ascomycota	Sordariomycetes	Not assigned		Etheirophoraceae															false
3925861	8688ee5b091b853f47211994ebdc5a64	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925859		family		Obryzaceae	Fungi	Ascomycota	Sordariomycetes	Not assigned		Obryzaceae															false
3925862	b1738856b5989285c89981ff1265368b	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925859		family		Papulosaceae	Fungi	Ascomycota	Sordariomycetes	Not assigned		Papulosaceae															false
3925863	4705f58a4bc423ff1c0375b7e88c1a6e	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925859		family		Apiosporaceae	Fungi	Ascomycota	Sordariomycetes	Not assigned		Apiosporaceae															false
3925864	2b3ca8d1c6feb4853e5f05e8a2734b75	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925859		family		Rhamphoriaceae	Fungi	Ascomycota	Sordariomycetes	Not assigned		Rhamphoriaceae															false
3925865	4bd0430b86f89e613f2ac239d886041e	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925859		family		Catabotryaceae	Fungi	Ascomycota	Sordariomycetes	Not assigned		Catabotryaceae															false
3925866	e51912f4d16846cbf84042c416b0a5f7	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925859		family		Juncigenaceae	Fungi	Ascomycota	Sordariomycetes	Not assigned		Juncigenaceae															false
3925867	444cc98aaf1bd4c1f2a1fac636ea123a	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925859		family		Thyridiaceae	Fungi	Ascomycota	Sordariomycetes	Not assigned		Thyridiaceae															false
3931022	1f63a43b634305c5ae679ba065683d4a	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3925858		order		Xylariales	Fungi	Ascomycota	Sordariomycetes	Xylariales																	false
3931023	16c313fe3cf57c3b71110e61578d316c	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Pseudomassariaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Pseudomassariaceae															false
3931024	a540339b022e432a3aa47f73e9bc9e34	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Nothodactylariaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Nothodactylariaceae															false
3931025	7b5908b06cc283cd7bea6eecb949e39a	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Oxydothidaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Oxydothidaceae															false
3931026	fc1a2ead15fa133e08032ca53b7df4d1	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Melogrammataceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Melogrammataceae															false
3931027	d8f39ac2cf5e12d7bb9a9b92a7d75be4	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Hyponectriaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Hyponectriaceae															false
3931028	d57f8e8a75b5447b8b079cfdb2b0308b	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Xylariaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Xylariaceae															false
3931029	a2cffe9b1e7b11556a5e7b3b4ea58585	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Diatrypaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Diatrypaceae															false
3931030	09437a07cddc73da8ee6759de0741e5a	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Graphostromataceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Graphostromataceae															false
3931031	40ab66ffcec01edd7c1d34567c94c4cd	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Leptosilliaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Leptosilliaceae															false
3931032	5fea5f87d5cb4d52111d506a0f475798	Species 2000	Catalogue of Life in Species 2000 & ITIS Catalogue of Life: 2020-04-16 Beta		3931022		family		Anungitiomycetaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales		Anungitiomycetaceae															false
